CUSTOMER NAME,CUSTOMER CODE,MASTER REF,HOUSEBILL REF,DOCUMENT NO,DOCUMENT DATE,DUE DAYS,INVOICE AMOUNT,BALANCE AMOUNT
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC897649,BEY11280,NYC202100002031,2021-02-05 04:52:00,264.0,800.0,800.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC910251,BEY11306,AJF202100007854,2021-04-13 13:40:00,197.0,800.0,800.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC911371,BEY11307,AJF202100008363,2021-04-19 05:41:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC910642,BEY1131224,AJF202100008367,2021-04-19 05:45:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC944337,BEYNYC944337,AJF202100026348,2021-10-04 06:52:00,23.0,5950.0,5950.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC920360,BEY11332,AJF202100015613,2021-06-24 18:02:00,125.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC895081,BEY11274,NYC202100001544,2021-01-30 04:11:00,270.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC894896,BEY11272,NYC202100001548,2021-01-30 04:29:00,270.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC917760,BEYNYC917760,AJF202100013341,2021-06-06 10:23:00,143.0,6146.0,400.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUMERNYC916489,ORG2100341EXY,AJF202100012541,2021-05-26 18:40:00,154.0,466.0,466.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC905133,BEYNYC905133,NYC202100004005,2021-02-27 01:28:00,242.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC906849,BEY11299,AJF202100008038,2021-04-14 12:55:00,196.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC921780,BEY11339,AJF202100016812,2021-07-07 16:45:00,112.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC909485,BEY11302,AJF202100008356,2021-04-19 05:29:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC919239,BEY11325,AJF202100009388,2021-04-28 18:05:00,182.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC926604,BEYNYC926604,AJF202100018420,2021-07-23 13:03:00,96.0,200.0,200.0
